Name|||FullName|||ID|||Group|||TechGroup|||Warehous|||Area|||Sequence|||ItemLenght|||PriceCoefficient|||AddCoefficient|||PackWeight|||PackWeightUnit|||CutHalf|||MinimalQuantity
Швеллер ГК 12 заготовка|||Швеллер ГК 12 6м заготовка|||2204       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,8||||||5|||т|||false|||1
Швеллер ГК 14|||Швеллер ГК 14|||2205       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||12,7||||||5|||т|||true|||5
Швеллер ГК 14 заготовка|||Швеллер ГК 14 6м заготовка|||2205       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||12,7||||||5|||т|||false|||1
Швеллер ГК 16|||Швеллер ГК 16|||2206       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||14,6||||||5|||т|||true|||5
Швеллер ГК 16 заготовка|||Швеллер ГК 16 6м заготовка|||2206       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||14,6||||||5|||т|||false|||1
Швеллер ГК 18|||Швеллер ГК 18|||2207       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||16,7||||||5|||т|||true|||5
Швеллер ГК 18 заготовка|||Швеллер ГК 18 6м заготовка|||2207       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||16,7||||||5|||т|||false|||1
Лист оцинкованный 0,65 х1250х3000 08пс|||Лист оцинкованный 0,65 х1250х3000 08пс|||4301       |||Лист оцинкованный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||3|||21||||||5|||т|||false|||
Лист оцинкованный 0,7 х1250х3000 08пс|||Лист оцинкованный 0,7 х1250х3000 08пс|||43011      |||Лист оцинкованный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||3|||22||||||5|||т|||false|||
Лист оцинкованный 1 х1250х2500 08пс|||Лист оцинкованный 1 х1250х2500 08пс|||4302       |||Лист оцинкованный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||26||||||5|||т|||false|||
Лист оцинкованный 1,5 х1250х2500 08пс|||Лист оцинкованный 1,5 х1250х2500 08пс|||4303       |||Лист оцинкованный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||38||||||5|||т|||false|||
Лист оцинкованный 2 х1250х2500 08пс|||Лист оцинкованный 2 х1250х2500 08пс|||4304       |||Лист оцинкованный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||50||||||5|||т|||false|||
Труба профильная  15х15х1,5 ГОСТ 8639-82 Северсталь|||Труба профильная  15х15х1,5|||3101       |||Труба профильная 1,5мм|||Трубный прокат|||Склад №1|||Ворота №2|||2|||6|||0,61|||0,605|||2,2|||т|||false|||0,5
Труба профильная  20х20х1,5 ГОСТ 8639-82 Северсталь|||Труба профильная  20х20х1,5|||3102       |||Труба профильная 1,5мм|||Трубный прокат|||Склад №1|||Ворота №2|||2|||6|||0,848|||0,841|||2,2|||т|||false|||0,5
Труба профильная  25х25х1,5 ГОСТ 8639-82 Северсталь|||Труба профильная  25х25х1,5|||3103       |||Труба профильная 1,5мм|||Трубный прокат|||Склад №1|||Ворота №2|||2|||6|||1,09|||1,07|||2,2|||т|||false|||0,5
Труба профильная  30х30х1,5 ГОСТ 8639-82 Северсталь|||Труба профильная  30х30х1,5|||3104       |||Труба профильная 1,5мм|||Трубный прокат|||Склад №1|||Ворота №2|||2|||6|||1,33|||1,31|||2,2|||т|||false|||0,5
Труба профильная  40х20х1,5 ГОСТ 8645-68|||Труба профильная  40х20х1,5|||3105       |||Труба профильная 1,5мм|||Трубный прокат|||Склад №1|||Ворота №2|||2|||6|||1,31||||||2,2|||т|||false|||0,5
Труба профильная  40х25х1,5 ГОСТ 8645-68|||Труба профильная  40х25х1,5|||3106       |||Труба профильная 1,5мм|||Трубный прокат|||Склад №1|||Ворота №2|||2|||6|||1,43||||||1,7|||т|||false|||0,5
Труба профильная  40х40х1,5 ГОСТ 8639-82|||Труба профильная  40х40х1,5|||3107       |||Труба профильная 1,5мм|||Трубный прокат|||Склад №1|||Ворота №2|||2|||6|||1,78||||||1,7|||т|||false|||0,5
Труба профильная  50х25х1,5 ГОСТ 8645-68|||Труба профильная  50х25х1,5|||3108       |||Труба профильная 1,5мм|||Трубный прокат|||Склад №1|||Ворота №2|||2|||6|||1,67||||||2,2|||т|||false|||0,5
Труба профильная  30х30х2 ГОСТ 8639-82|||Труба профильная  30х30х2|||3201       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||1,7||||||2,6|||т|||false|||0,4
Труба профильная  40х20х2 ГОСТ 8645-68|||Труба профильная  40х20х2|||3202       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||1,7||||||2,5|||т|||false|||0,4
Труба профильная  40х40х2 ГОСТ 8639-82|||Труба профильная  40х40х2|||3203       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||2,33||||||2,2|||т|||false|||0,4
Труба профильная  50х25х2 ГОСТ 8645-68|||Труба профильная  50х25х2|||3204       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||2,17||||||2,2|||т|||false|||0,4
Труба профильная  50х50х2 ГОСТ 8639-82|||Труба профильная  50х50х2|||3205       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||2,96||||||2|||т|||false|||0,4
Труба профильная  60х30х2 ГОСТ 8645-68|||Труба профильная  60х30х2|||3206       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||2,65||||||2|||т|||false|||0,4
Труба профильная  60х40х2 ГОСТ 8645-68|||Труба профильная  60х40х2|||3207       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||2,96||||||2|||т|||false|||0,4
Труба профильная  60х60х2 ГОСТ 8639-82|||Труба профильная  60х60х2|||3208       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||3,59||||||2|||т|||false|||0,4
Труба профильная  80х40х2 ГОСТ 8645-68|||Труба профильная  80х40х2|||3209       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||3,59||||||2|||т|||false|||0,3
Труба профильная  80х80х2 ГОСТ 8639-82|||Труба профильная  80х80х2 12 м|||3210       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №1|||3|||12|||4,84||||||2|||т|||true|||2
Труба профильная  80х80х2 ГОСТ 8639-82|||Труба профильная  80х80х2 6 м|||3210       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||4,84||||||2|||т|||false|||0,3
Труба профильная  80х80х2 заготовка ГОСТ 8639-82|||Труба профильная  80х80х2 6 м заготовка|||3210       |||Труба профильная 2мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||4,84||||||2|||т|||false|||0,3
Труба профильная  40х40х3 ГОСТ 8639-82|||Труба профильная  40х40х3|||3301       |||Труба профильная 3мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||3,36||||||2,5|||т|||false|||0,7
Труба профильная  50х50х3 ГОСТ 8639-82|||Труба профильная  50х50х3|||3302       |||Труба профильная 3мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||4,31||||||2,5|||т|||false|||0,7
Труба профильная  60х40х3 ГОСТ 8645-68|||Труба профильная  60х40х3|||3303       |||Труба профильная 3мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||4,3||||||3|||т|||false|||0,7
Труба профильная  60х60х3 ГОСТ 8639-82|||Труба профильная  60х60х3|||3304       |||Труба профильная 3мм|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||5,25||||||3|||т|||false|||0,7
Труба профильная  80х80х3 ГОСТ 8639-82|||Труба профильная  80х80х3 12 м|||3305       |||Труба профильная 3мм|||Трубный прокат|||Склад №1|||Ворота №1|||1|||12|||7,13||||||3|||т|||true|||4
Труба профильная  80х80х3 ГОСТ 8639-82|||Труба профильная  80х80х3 6 м|||3305       |||Труба профильная 3мм|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||7,13||||||3|||т|||false|||1
Труба профильная  80х80х3 заготовка ГОСТ 8639-82|||Труба профильная  80х80х3 6 м заготовка|||3305       |||Труба профильная 3мм|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||7,13||||||3|||т|||false|||1
Труба профильная 100х50х3 ГОСТ 8645-68|||Труба профильная 100х50х3 12м|||3306       |||Труба профильная 3мм|||Трубный прокат|||Склад №1|||Ворота №1|||1|||12|||6,66||||||3|||т|||true|||4
Труба профильная 100х50х3 заготовка ГОСТ 8645-68|||Труба профильная 100х50х3 6м заготовка|||3306       |||Труба профильная 3мм|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||6,66||||||3|||т|||false|||1
Труба профильная 100х100х3 ГОСТ 8639-82|||Труба профильная 100х100х3 12м|||3307       |||Труба профильная 3мм|||Трубный прокат|||Склад №1|||Ворота №1|||1|||12|||9,02||||||3|||т|||true|||4
Труба профильная 100х100х3 заготовка ГОСТ 8639-82|||Труба профильная 100х100х3 6м заготовка|||3307       |||Труба профильная 3мм|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||9,02||||||3|||т|||false|||1
Труба профильная 80х80х4 ГОСТ 8639-82|||Труба профильная 80х80х4|||3401       |||Труба профильная 4мм|||Трубный прокат|||Склад №1|||Ворота №1|||1|||12|||9,33||||||3|||т|||true|||4
Труба профильная 80х80х4 заготовка ГОСТ 8639-82|||Труба профильная 80х80х4 6м заготовка|||3401       |||Труба профильная 4мм|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||9,33||||||3|||т|||false|||1
Труба профильная 100х100х4 ГОСТ 8639-82|||Труба профильная 100х100х4 6м|||3403       |||Труба профильная 4мм|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||11,84|||11,84|||3|||т|||false|||1
Труба профильная 100х100х4 ГОСТ 8639-82|||Труба профильная 100х100х4 12м|||3403       |||Труба профильная 4мм|||Трубный прокат|||Склад №1|||Ворота №1|||1|||12|||11,84||||||3|||т|||true|||4
Труба профильная 100х100х4 заготовка ГОСТ 8639-82|||Труба профильная 100х100х4 6м заготовка|||3403       |||Труба профильная 4мм|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||11,84|||11,84|||3|||т|||false|||1
Труба профильная 120х80х4 ГОСТ 8645-68|||Труба профильная 120х80х4 12м|||3405       |||Труба профильная 4мм|||Трубный прокат|||Склад №1|||Ворота №1|||1|||12|||11,84||||||3|||т|||true|||4
Труба профильная 120х80х4 заготовка ГОСТ 8645-68|||Труба профильная 120х80х4 6м заготовка|||3405       |||Труба профильная 4мм|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||11,84||||||3|||т|||false|||1
Труба профильная 120х120х4 ГОСТ 8639-82|||Труба профильная 120х120х4|||3406       |||Труба профильная 4мм|||Трубный прокат|||Склад №1|||Ворота №1|||1|||12|||14,25||||||3,5|||т|||true|||4
Труба профильная 120х120х4 заготовка ГОСТ 8639-82|||Труба профильная 120х120х4 6м заготовка|||3406       |||Труба профильная 4мм|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||14,25||||||3,5|||т|||false|||1
Труба ВГП (ДУ) 15х2,8 ГОСТ 3262-75|||Труба ВГП (ДУ) 15х2,8|||3501       |||Труба водогазопроводная|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||1,28||||||2,2|||т|||false|||0,4
Труба ВГП (ДУ) 20х2,8 ГОСТ 3262-75 |||Труба ВГП (ДУ) 20х2,8 |||3502       |||Труба водогазопроводная|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||1,66||||||3|||т|||false|||0,4
Труба ВГП (ДУ) 25х2,8 ГОСТ 3262-75|||Труба ВГП (ДУ) 25х2,8|||3503       |||Труба водогазопроводная|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||2,12||||||3|||т|||false|||0,4
Труба ВГП (ДУ) 32х2,8 ГОСТ 3262-75|||Труба ВГП (ДУ) 32х2,8|||3504       |||Труба водогазопроводная|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||2,73||||||3|||т|||false|||0,4
Труба ВГП (ДУ) 40х3,5 ГОСТ 3262-75|||Труба ВГП (ДУ) 40х3,5 6м|||3505       |||Труба водогазопроводная|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||3,84||||||3|||т|||false|||0,4
Труба ВГП (ДУ) 40х3,5 ГОСТ 3262-75|||Труба ВГП (ДУ) 40х3,5 12м|||3505       |||Труба водогазопроводная|||Трубный прокат|||Склад №1|||Ворота №1|||3|||12|||3,84||||||3|||т|||true|||
Труба ВГП (ДУ) 40х3,5 заготовка ГОСТ 3262-75|||Труба ВГП (ДУ) 40х3,5 6 м заготовка|||3505       |||Труба водогазопроводная|||Трубный прокат|||Склад №1|||Ворота №2|||3|||6|||3,84||||||3|||т|||false|||0,4
Труба электросварная  57х3,5 ГОСТ 10704-91|||Труба электросварная  57х3,5 6 м|||3601       |||Труба электросварная|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||4,62||||||4,5|||т|||false|||1
Труба электросварная  57х3,5 ГОСТ 10704-91|||Труба электросварная  57х3,5 12 м|||3601       |||Труба электросварная|||Трубный прокат|||Склад №1|||Ворота №1|||1|||12|||4,62||||||4,5|||т|||true|||3
Труба электросварная  57х3,5 заготовка ГОСТ 10704-91|||Труба электросварная  57х3,5 6 м заготовка|||3601       |||Труба электросварная|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||4,62||||||4,5|||т|||false|||1
Труба электросварная  76х3,5 ГОСТ 10704-91|||Труба электросварная  76х3,5|||3602       |||Труба электросварная|||Трубный прокат|||Склад №1|||Ворота №1|||1|||12|||6,26||||||4,5|||т|||true|||3
Труба электросварная  76х3,5 заготовка ГОСТ 10704-91|||Труба электросварная  76х3,5 6м заготовка|||3602       |||Труба электросварная|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||6,26||||||4,5|||т|||false|||1
Труба электросварная  89х4 ГОСТ 10704-91|||Труба электросварная  89х4|||3603       |||Труба электросварная|||Трубный прокат|||Склад №1|||Ворота №1|||1|||12|||8,38||||||4,5|||т|||true|||3
Труба электросварная  89х4 заготовка ГОСТ 10704-91|||Труба электросварная  89х4 6м заготовка|||3603       |||Труба электросварная|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||8,38||||||4,5|||т|||false|||1
Труба электросварная 108х4 ГОСТ 10704-91|||Труба электросварная 108х4|||3604       |||Труба электросварная|||Трубный прокат|||Склад №1|||Ворота №1|||1|||12|||10,26||||||4,5|||т|||true|||3
Труба электросварная 108х4 заготовка ГОСТ 10704-91|||Труба электросварная 108х4 6м заготовка|||3604       |||Труба электросварная|||Трубный прокат|||Склад №1|||Ворота №2|||1|||6|||10,26||||||4,5|||т|||false|||1
Лист ГК 2х1250х2500 Ст3|||Лист ГК  2х1250х2500 Ст3|||4103       |||Лист горячекатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||2,5|||51||||||5|||т|||false|||5
Лист ГК 3х1500х3000 Cт3|||Лист ГК  3х1500х3000 Cт3|||41042      |||Лист горячекатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||3|||108||||||5|||т|||false|||
Лист ГК 4х1500х3000 Ст3 |||Лист ГК  4х1500х3000 Ст3 |||4105       |||Лист горячекатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||3|||144||||||4|||т|||false|||5
Лист ГК 4х1500х3000 Cт09Г2С |||Лист ГК  4х1500х3000 Cт09Г2С |||41051      |||Лист горячекатаный|||Листовой прокат|||Склад №2|||Ворота №3|||1|||3|||144||||||4|||т|||false|||
